jaar;variabele;gem;SD;bron
2022;BEVOPLBASIS_P;22.0;9.5;sdgeb22
2021;BEVOPLBASIS_P;22.0;9.708;sdgeb22
2020;BEVOPLBASIS_P;23.0;9.265;sdgeb22
2019;BEVOPLBASIS_P;23.0;8.778;sdgeb22
2018;BEVOPLBASIS_P;24.0;9.387;sdgeb22
2017;BEVOPLBASIS_P;24.0;8.868;sdgeb22
2016;BEVOPLBASIS_P;24.0;11.773;sdgeb22
2015;BEVOPLBASIS_P;25.0;13.334;sdgeb22
2014;BEVOPLBASIS_P;26.0;10.45;sdgeb22
2013;BEVOPLBASIS_P;26.0;10.59;sdgeb22
2012;BEVOPLBASIS_P;27.0;12.095;sdgeb22
2011;BEVOPLBASIS_P;28.0;11.203;sdgeb22
2010;BEVOPLBASIS_P;28.0;11.67;sdgeb22
2022;BEVOPLHBOWO_P;48.0;14.492;sdgeb22
2021;BEVOPLHBOWO_P;48.0;14.517;sdgeb22
2020;BEVOPLHBOWO_P;48.0;14.28;sdgeb22
2019;BEVOPLHBOWO_P;48.0;14.561;sdgeb22
2018;BEVOPLHBOWO_P;47.0;15.907;sdgeb22
2017;BEVOPLHBOWO_P;45.0;15.326;sdgeb22
2016;BEVOPLHBOWO_P;44.0;16.493;sdgeb22
2015;BEVOPLHBOWO_P;43.0;16.352;sdgeb22
2014;BEVOPLHBOWO_P;40.0;14.784;sdgeb22
2013;BEVOPLHBOWO_P;39.0;14.526;sdgeb22
2012;BEVOPLHBOWO_P;39.0;15.02;sdgeb22
2011;BEVOPLHBOWO_P;38.0;14.705;sdgeb22
2010;BEVOPLHBOWO_P;38.0;14.509;sdgeb22
2022;BEVOPLMBO_P;30.0;12.915;sdgeb22
2021;BEVOPLMBO_P;30.0;11.676;sdgeb22
2020;BEVOPLMBO_P;30.0;10.935;sdgeb22
2019;BEVOPLMBO_P;29.0;9.823;sdgeb22
2018;BEVOPLMBO_P;30.0;9.513;sdgeb22
2017;BEVOPLMBO_P;31.0;10.729;sdgeb22
2016;BEVOPLMBO_P;32.0;10.104;sdgeb22
2015;BEVOPLMBO_P;32.0;7.092;sdgeb22
2014;BEVOPLMBO_P;34.0;5.121;sdgeb22
2013;BEVOPLMBO_P;34.0;4.942;sdgeb22
2012;BEVOPLMBO_P;34.0;4.738;sdgeb22
2011;BEVOPLMBO_P;34.0;5.133;sdgeb22
2010;BEVOPLMBO_P;34.0;4.101;sdgeb22
2018;O_AFSTROOM_P;10.0;7.017;sdbc
2017;O_AFSTROOM_P;11.0;6.497;sdbc
2016;O_AFSTROOM_P;11.0;7.316;sdbc
2015;O_AFSTROOM_P;11.0;7.355;sdbc
2014;O_AFSTROOM_P;13.0;7.59;sdbc
2013;O_AFSTROOM_P;16.0;8.518;sdbc
2012;O_AFSTROOM_P;17.0;7.499;sdbc
2011;O_AFSTROOM_P;16.0;8.805;sdbc
2010;O_AFSTROOM_P;15.0;8.621;sdbc
2009;O_AFSTROOM_P;14.0;9.334;sdbc
2022;O_HAVOVWO_P;55.0;17.916;sdbc
2021;O_HAVOVWO_P;54.0;19.462;sdbc
2020;O_HAVOVWO_P;56.0;17.866;sdbc
2019;O_HAVOVWO_P;53.0;17.765;sdbc
2018;O_HAVOVWO_P;52.0;19.538;sdbc
2022;O_OPLPO_L_P;17.0;8.083;sdbc
2020;O_OPLPO_L_P;19.0;8.212;sdbc
2019;O_OPLPO_L_P;19.0;8.669;sdbc
2018;O_OPLPO_L_P;20.0;9.361;sdbc
2017;O_OPLPO_L_P;21.0;10.385;sdbc
2016;O_OPLPO_L_P;22.0;11.036;sdbc
2015;O_OPLPO_L_P;23.0;11.874;sdbc
2014;O_OPLPO_L_P;24.0;12.099;sdbc
2013;O_OPLPO_L_P;26.0;12.801;sdbc
2012;O_OPLPO_L_P;27.0;13.639;sdbc
2022;O_OPLPO_M_P;29.0;10.143;sdbc
2020;O_OPLPO_M_P;29.0;9.931;sdbc
2019;O_OPLPO_M_P;28.0;9.882;sdbc
2018;O_OPLPO_M_P;29.0;9.723;sdbc
2017;O_OPLPO_M_P;28.0;9.816;sdbc
2016;O_OPLPO_M_P;28.0;9.583;sdbc
2015;O_OPLPO_M_P;28.0;9.574;sdbc
2014;O_OPLPO_M_P;29.0;9.267;sdbc
2013;O_OPLPO_M_P;29.0;8.868;sdbc
2012;O_OPLPO_M_P;29.0;8.455;sdbc
2022;O_OPLPO_P;54.0;19.428;sdbc
2020;O_OPLPO_P;53.0;18.973;sdbc
2019;O_OPLPO_P;52.0;19.784;sdbc
2018;O_OPLPO_P;52.0;19.693;sdbc
2017;O_OPLPO_P;51.0;20.61;sdbc
2016;O_OPLPO_P;50.0;20.628;sdbc
2015;O_OPLPO_P;49.0;21.178;sdbc
2014;O_OPLPO_P;47.0;21.298;sdbc
2013;O_OPLPO_P;45.0;21.331;sdbc
2012;O_OPLPO_P;43.0;21.509;sdbc
2022;O_OPLVO_L_P;21.0;10.815;sdbc
2021;O_OPLVO_L_P;21.0;11.301;sdbc
2020;O_OPLVO_L_P;23.0;11.393;sdbc
2019;O_OPLVO_L_P;24.0;11.847;sdbc
2018;O_OPLVO_L_P;26.0;12.856;sdbc
2017;O_OPLVO_L_P;27.0;13.489;sdbc
2016;O_OPLVO_L_P;28.0;15.263;sdbc
2015;O_OPLVO_L_P;30.0;15.665;sdbc
2014;O_OPLVO_L_P;31.0;15.981;sdbc
2013;O_OPLVO_L_P;33.0;16.363;sdbc
2012;O_OPLVO_L_P;35.0;16.006;sdbc
2022;O_OPLVO_M_P;26.0;9.011;sdbc
2021;O_OPLVO_M_P;27.0;8.615;sdbc
2020;O_OPLVO_M_P;27.0;8.38;sdbc
2019;O_OPLVO_M_P;27.0;8.225;sdbc
2018;O_OPLVO_M_P;28.0;7.576;sdbc
2017;O_OPLVO_M_P;28.0;7.361;sdbc
2016;O_OPLVO_M_P;29.0;7.13;sdbc
2015;O_OPLVO_M_P;29.0;7.045;sdbc
2014;O_OPLVO_M_P;29.0;6.472;sdbc
2013;O_OPLVO_M_P;29.0;6.446;sdbc
2012;O_OPLVO_M_P;30.0;5.588;sdbc
2022;O_OPLVO_P;53.0;21.996;sdbc
